number,name,abbreviation,category,maintainer,description,size,license,tier,hi_relevance
1,"International Classification of Diseases, 11th Revision",ICD-11,A. Public Health & Epidemiology,WHO,Global standard for diagnostic coding across 17K+ disease categories. The lingua franca of disease classification.,55K+ entities,CC BY-ND 3.0 IGO,1,Core disease coding for evaluation scenario generation across all HI health domains
2,Medical Subject Headings,MeSH,A. Public Health & Epidemiology,NLM/NIH,Hierarchical controlled vocabulary for indexing biomedical and health literature. 29K+ descriptors with qualifiers.,"29K descriptors, 400K+ supplementary concepts",Public domain,1,"Maps clinical trials, drugs, diseases — already in Samyama clinicaltrials-kg"
3,Systematized Nomenclature of Medicine — Clinical Terms,SNOMED CT,A. Public Health & Epidemiology,SNOMED International (IHTSDO),Most comprehensive clinical terminology. 350K+ concepts with formal logic definitions and multilingual support.,"350K+ concepts, 1.5M relationships",Free for member countries (affiliate license),1,Gold standard clinical terminology; enables multilingual evaluation (9+ languages like IMDA challenge)
4,Global Health Observatory,GHO,A. Public Health & Epidemiology,WHO,"2,300+ health indicators across 194 member states. Covers mortality, morbidity, health systems, risk factors, NCD, environmental health.","2,300+ indicators, 194 countries",Open access,1,Direct data source for surveillance-kg; population-level baselines for evaluation
5,Demographic and Health Surveys,DHS,A. Public Health & Epidemiology,USAID / ICF,"Nationally representative household surveys on health, nutrition, population in 90+ LMICs since 1984.","400+ surveys, 90+ countries",Open access (registration required),1,LMIC-specific health data; directly relevant to HI's focus on low-resource settings
6,Global Burden of Disease Study,GBD,A. Public Health & Epidemiology,IHME (Univ. of Washington),"Comprehensive assessment of mortality and disability from 369 diseases, 87 risk factors, across 204 countries.","369 diseases, 87 risk factors, 204 countries",Open access (IHME Free-of-Charge License),1,Maps disease burden → enables prioritization of evaluation scenarios by impact
7,Infectious Disease Ontology,IDO,A. Public Health & Epidemiology,OBO Foundry,"Formal ontology for infectious diseases, including host-pathogen interactions, disease courses, and transmission.",~3K classes,CC BY 4.0,2,Structures pathogen-disease-host relationships for surveillance evaluation scenarios
8,Ontology for Biomedical Investigations,OBI,A. Public Health & Epidemiology,OBO Foundry,"Ontology of investigations: study designs, protocols, instruments, data, and materials.",~4.5K classes,CC BY 4.0,2,"Structures evaluation methodology itself — study design, data collection, analysis"
9,Epidemiology Ontology,EPO,A. Public Health & Epidemiology,Community (OBO),"Formal representation of epidemiological concepts: incidence, prevalence, outbreak, exposure, risk.",~500 classes,CC BY 4.0,2,Formalizes the epidemiological concepts that underpin public health AI evaluation
10,Health Level Seven Fast Healthcare Interoperability Resources,HL7 FHIR,A. Public Health & Epidemiology,HL7 International,"Standard for exchanging healthcare information electronically. Resources cover patients, observations, medications, conditions.",150+ resource types,CC0 1.0,2,Interoperability standard; enables structured health data exchange for evaluation pipelines
11,WHO International Health Regulations,IHR,A. Public Health & Epidemiology,WHO,Legal framework for 196 countries to prevent and respond to public health emergencies of international concern.,"196 State Parties, 13 core capacities",Open standard,2,Structures national surveillance capacity — relevant to health-systems-kg
12,Global Antimicrobial Resistance and Use Surveillance System,GLASS,A. Public Health & Epidemiology,WHO,"Standardized approach to collecting, analyzing, and sharing AMR data at global level.",127+ countries enrolled,Open data,1,Already feeding surveillance-kg; AMR is critical for public health AI evaluation
13,UNICEF Estimates of National Immunization Coverage,WUENIC,A. Public Health & Epidemiology,WHO/UNICEF,Annual estimates of national immunization coverage for vaccines in WHO/UNICEF schedule.,"196 countries, 12+ antigens",Open data,1,Already in surveillance-kg; immunization coverage as evaluation ground truth
14,Human Phenotype Ontology,HPO,A. Public Health & Epidemiology,Monarch Initiative,Standardized vocabulary of phenotypic abnormalities in human disease. 18K+ terms mapped to 8K+ diseases.,"18K+ terms, 8K+ diseases",Custom open license,2,Structures clinical phenotypes for evaluating health AI diagnostic accuracy
15,NCI Thesaurus,NCIt,A. Public Health & Epidemiology,National Cancer Institute,"Reference terminology for cancer research — 180K+ concepts covering neoplasms, drugs, anatomy, genes.",180K+ concepts,Public domain,1,"Cancer is a key focus for HI working group (""Medical, Public Health and AI — initial focus: cancer diagnosis"")"
16,Population Health Ontology,PopHO,A. Public Health & Epidemiology,Academic (Univ. of Victoria),"Ontology covering population health concepts including determinants, interventions, and outcomes.",~1K classes,Open,2,Maps population-level health concepts directly relevant to HI's public health focus
17,Vaccine Ontology,VO,A. Public Health & Epidemiology,Univ. of Michigan,"Formal representation of vaccine types, components, host responses, and vaccination processes.",~10K classes,CC BY 3.0,2,Structures vaccine knowledge for immunization coverage evaluation scenarios
18,Apollo Structured Vocabulary,APOLLO_SV,A. Public Health & Epidemiology,Univ. of Pittsburgh,OWL2 ontology for epidemic simulation and population biology — used by MIDAS portal for infectious disease data discovery.,~700 classes,CC BY 4.0,1,Evaluating AI epidemic simulation and outbreak forecasting models
19,Health Surveillance Ontology,HSO,A. Public Health & Epidemiology,Data-Driven Surveillance consortium,"Surveillance system-level data — samples collected, cases observed. One Health: animal health, public health, food safety.",Emerging,CC BY 4.0,1,Models the surveillance data pipeline; evaluating AI-driven syndromic surveillance and early warning
20,Pathogen Transmission Ontology,TRANS,A. Public Health & Epidemiology,Univ. of Maryland,Transmission methods of human disease pathogens — how pathogens move from reservoir to new host.,32 terms,CC0 1.0,1,Essential vocabulary for modeling disease spread pathways in AI surveillance evaluation
21,Antibiotic Resistance Ontology,ARO,A. Public Health & Epidemiology,McMaster Univ. / CARD,Ontology for antibiotic resistance genes and mutations. Part of CARD database used globally for AMR surveillance.,5K+ terms,CC BY 4.0,1,Evaluating AI in AMR detection and antimicrobial stewardship — major global health priority
22,Symptom Ontology,SYMP,A. Public Health & Epidemiology,Univ. of Maryland,Ontology of disease symptoms — perceived changes indicative of disease. Companion to Disease Ontology.,~900 terms,CC0 1.0,1,"Evaluating AI symptom checkers, triage tools, syndromic surveillance in LMICs"
23,Neglected Tropical Disease Ontology,NTDO,A. Public Health & Epidemiology,"Federal Univ. of Pernambuco, Brazil","Ontology for NTDs linking diseases to pathogens, vectors, hosts, and geographic locations.",WHO NTD portfolio (20+ diseases),Open (research),1,Diseases of poverty prevalent in LMICs; evaluating AI diagnostic and surveillance tools
24,OHDSI / OMOP Common Data Model,OMOP CDM,A. Public Health & Epidemiology,OHDSI community,Standardized vocabularies for observational health data from 331+ sources. 2.1B patient records across 34 countries.,10M+ concepts from 136 vocabularies,Apache 2.0,1,Largest observational health data network; evaluating AI on real-world evidence and pharmacovigilance
